idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,evolucao_PGC,sexo_cod,atividade_cod,estado_cod
60,Outro,5.0,Yoga,47.7,238.5,119.36,Não,31.2,18.9,2022-07-17,Ativa,12.3,2,9,0
35,Masculino,6.0,Natação,87.8,526.8,67.0,Não,27.0,34.7,2021-10-19,Ativa,-7.700000000000003,1,6,0
53,Outro,3.0,CrossFit,65.7,197.1,109.02,Sim,20.2,17.1,2023-05-17,Ativa,3.099999999999998,2,1,0
59,Feminino,2.0,CrossFit,38.0,76.0,121.55,Não,39.4,35.0,2022-01-10,Ativa,4.399999999999999,0,1,0
20,Outro,4.0,CrossFit,22.1,203.5,213.46,Sim,35.3,25.3,2025-07-27,Sedentária,9.999999999999996,2,1,1
55,Masculino,2.0,Futebol,117.7,235.4,246.02,Não,11.3,16.4,2021-07-29,Ativa,-5.099999999999998,1,3,0
41,Masculino,2.0,CrossFit,42.3,84.6,286.25,Sim,36.4,36.3,2022-03-17,Ativa,0.10000000000000142,1,1,0
56,Outro,4.0,CrossFit,44.3,177.2,91.67,Sim,31.2,38.0,2021-02-20,Ativa,-6.800000000000001,2,1,0
33,Outro,4.0,CrossFit,70.55,203.5,60.35,Não,17.9,33.2,2025-09-08,Ativa,-15.300000000000004,2,1,0
36,Outro,4.0,Futebol,51.7,206.8,221.25,Não,25.3,38.0,2021-03-10,Ativa,-12.7,2,3,0
23,Feminino,3.0,CrossFit,36.8,110.4,286.46,Sim,20.6,31.9,2021-07-30,Ativa,-11.299999999999997,0,1,0
25,Outro,5.0,Futebol,34.9,174.5,270.0,Não,23.3,31.8,2022-03-20,Ativa,-8.5,2,3,0
37,Masculino,5.0,CrossFit,47.4,237.0,74.58,Sim,36.1,11.4,2022-08-13,Ativa,24.700000000000003,1,1,0
38,Masculino,7.0,Musculação,51.6,361.2,267.99,Sim,35.0,19.5,2023-05-31,Ativa,15.5,1,4,0
33,Masculino,3.0,Cardio,70.7,212.1,56.83,Não,39.5,19.5,2022-03-10,Ativa,20.0,1,0,0
33,Feminino,1.0,Cardio,73.1,73.1,247.24,Sim,14.8,12.4,2020-07-12,Ativa,2.4000000000000004,0,0,0
18,Outro,7.0,Cardio,70.55,203.5,155.25,Não,23.6,21.8,2020-11-08,Ativa,1.8000000000000007,2,0,0
27,Masculino,1.0,Natação,58.0,58.0,170.14,Não,39.2,22.4,2023-12-12,Ativa,16.800000000000004,1,6,0
45,Outro,0.0,CrossFit,88.5,0.0,86.94,Sim,29.6,27.8,2023-04-14,Sedentária,1.8000000000000007,2,1,1
43,Feminino,2.0,Musculação,31.9,63.8,54.78,Não,21.7,39.6,2021-08-14,Ativa,-17.900000000000002,0,4,0
37,Outro,4.0,Futebol,21.8,87.2,292.44,Não,30.6,26.0,2023-03-05,Ativa,4.600000000000001,2,3,0
47,Feminino,1.0,Soccer,81.0,81.0,133.92,Não,13.4,10.8,2020-05-28,Ativa,2.5999999999999996,0,7,0
18,Feminino,4.0,Yoga,34.6,138.4,211.34,Não,19.0,11.6,2022-05-24,Ativa,7.4,0,9,0
33,Masculino,5.0,CrossFit,23.7,118.5,107.99,Não,37.7,21.4,2024-02-22,Ativa,16.300000000000004,1,1,0
44,Masculino,5.0,Cardio,51.7,258.5,252.38,Não,36.2,24.6,2024-04-22,Ativa,11.600000000000001,1,0,0
41,Masculino,0.0,Cardio,51.6,0.0,227.1,Não,18.9,20.1,2024-05-20,Sedentária,-1.2000000000000028,1,0,1
42,Outro,4.0,Musculação,27.1,108.4,63.98,Não,39.0,11.2,2021-07-23,Ativa,27.8,2,4,0
38,Feminino,4.0,Musculação,41.0,203.5,174.41,Não,32.7,17.9,2022-04-23,Sedentária,14.800000000000004,0,4,1
52,Feminino,0.0,Cardio,34.9,0.0,258.48,Não,13.7,28.8,2021-08-21,Sedentária,-15.100000000000001,0,0,1
30,Masculino,5.0,Musculação,20.6,103.0,175.49,Não,12.5,15.4,2023-07-18,Ativa,-2.9000000000000004,1,4,0
52,Masculino,4.0,CrossFit,39.7,158.8,249.53,Sim,32.4,28.5,2020-04-08,Ativa,3.8999999999999986,1,1,0
49,Masculino,0.0,Cardio,75.0,0.0,206.8,Sim,28.2,17.9,2023-07-28,Sedentária,10.3,1,0,1
38,Outro,3.0,Cardio,106.8,320.4,273.77,Sim,16.1,18.9,2021-11-07,Ativa,-2.799999999999997,2,0,0
52,Outro,3.0,CrossFit,68.9,206.7,122.92,Sim,23.6,21.7,2024-06-17,Ativa,1.9000000000000021,2,1,0
22,Outro,3.0,Futebol,77.2,231.6,134.71,Não,29.4,15.7,2023-05-30,Ativa,13.7,2,3,0
21,Masculino,1.0,Futebol,115.7,115.7,247.15,Sim,18.6,17.1,2022-07-06,Ativa,1.5,1,3,0
64,Outro,4.0,CrossFit,54.3,217.2,132.65,Sim,14.7,23.2,2023-09-21,Ativa,-8.5,2,1,0
55,Masculino,2.0,Musculação,52.8,105.6,68.84,Não,38.2,29.9,2021-09-05,Ativa,8.300000000000004,1,4,0
45,Feminino,0.0,Cardio,97.3,0.0,235.39,Sim,18.2,21.3,2021-06-01,Sedentária,-3.1000000000000014,0,0,1
31,Masculino,2.0,Yoga,82.1,164.2,165.23,Sim,10.8,37.5,2020-06-13,Ativa,-26.7,1,9,0
29,Outro,3.0,Natação,60.0,180.0,229.87,Não,38.6,19.0,2022-07-08,Ativa,19.6,2,6,0
29,Masculino,4.0,Cardio,98.7,394.8,215.96,Não,18.2,13.6,2020-06-02,Ativa,4.6,1,0,0
50,Masculino,5.0,Cardio,106.8,534.0,104.04,Sim,15.9,15.2,2024-12-30,Ativa,0.7000000000000011,1,0,0
38,Feminino,7.0,Cardio,105.0,735.0,186.04,Não,11.0,22.0,2025-02-28,Ativa,-11.0,0,0,0
18,Feminino,5.0,Musculação,116.0,580.0,104.44,Não,21.7,38.2,2021-07-15,Ativa,-16.500000000000004,0,4,0
29,Masculino,1.0,Yoga,109.8,109.8,64.68,Não,24.5,27.0,2022-06-22,Ativa,-2.5,1,9,0
43,Outro,4.0,Futebol,87.0,348.0,78.3,Não,15.2,38.7,2021-06-04,Ativa,-23.500000000000004,2,3,0
51,Feminino,2.0,Yoga,48.9,97.8,240.18,Não,30.4,38.2,2022-05-28,Ativa,-7.800000000000004,0,9,0
52,Outro,4.0,Futebol,43.2,172.8,223.0,Não,18.6,19.9,2023-11-08,Ativa,-1.2999999999999972,2,3,0
27,Masculino,0.0,Futebol,20.9,0.0,103.76,Sim,18.9,25.3,2022-12-23,Sedentária,-6.400000000000002,1,3,1
42,Outro,6.0,Cardio,71.0,426.0,162.15,Não,31.6,26.2,2022-06-17,Ativa,5.400000000000002,2,0,0
62,Feminino,2.0,Yoga,35.0,70.0,284.59,Não,32.5,12.6,2020-12-06,Ativa,19.9,0,9,0
23,Masculino,4.0,Musculação,77.7,310.8,147.17,Sim,27.8,17.4,2025-03-23,Ativa,10.400000000000002,1,4,0
54,Masculino,4.0,Natação,113.1,452.4,196.02,Não,29.9,36.1,2020-11-02,Ativa,-6.200000000000003,1,6,0
64,Masculino,6.0,CrossFit,63.8,382.8,290.94,Sim,13.2,27.9,2020-09-22,Ativa,-14.7,1,1,0
18,Outro,5.0,Musculação,23.2,116.0,103.56,Não,27.3,37.4,2023-08-08,Ativa,-10.099999999999998,2,4,0
38,Outro,3.0,Cardio,64.1,192.3,165.03,Sim,15.9,11.0,2020-03-30,Ativa,4.9,2,0,0
39,Feminino,6.0,Natação,48.9,293.4,108.52,Não,18.2,39.0,2022-01-20,Ativa,-20.8,0,6,0
24,Feminino,0.0,Yoga,34.1,0.0,178.44,Sim,39.7,10.0,2025-08-12,Sedentária,29.700000000000003,0,9,1
44,Outro,1.0,Musculação,45.9,45.9,216.86,Não,27.3,10.6,2022-11-13,Ativa,16.700000000000003,2,4,0
46,Outro,5.0,Futebol,78.1,390.5,128.02,Não,11.5,29.7,2021-11-18,Ativa,-18.2,2,3,0
63,Outro,4.0,Musculação,26.6,203.5,185.37,Sim,25.9,16.9,2021-03-17,Sedentária,9.0,2,4,1
44,Masculino,3.0,Yoga,70.55,203.5,288.43,Sim,30.8,32.9,2020-10-17,Ativa,-2.099999999999998,1,9,0
47,Outro,3.0,Musculação,25.3,75.9,221.4,Não,17.0,15.7,2024-05-07,Ativa,1.3000000000000007,2,4,0
36,Outro,0.0,Natação,105.6,0.0,53.2,Não,36.7,33.3,2024-03-02,Sedentária,3.4000000000000057,2,6,1
29,Masculino,4.0,Musculação,91.0,364.0,91.91,Não,28.7,21.9,2024-01-12,Ativa,6.800000000000001,1,4,0
50,Feminino,3.0,Cardio,28.3,84.9,155.83,Não,15.4,24.8,2023-11-06,Ativa,-9.4,0,0,0
44,Feminino,0.0,Cardio,32.0,0.0,70.31,Não,22.6,23.5,2025-03-25,Sedentária,-0.8999999999999986,0,0,1
46,Masculino,0.0,Musculação,24.6,0.0,201.72,Não,38.4,19.5,2024-07-07,Sedentária,18.9,1,4,1
60,Masculino,4.0,Musculação,74.2,296.8,190.54,Não,27.8,34.3,2023-05-03,Ativa,-6.4999999999999964,1,4,0
18,Outro,3.0,Yoga,119.7,359.1,100.45,Sim,35.2,32.5,2022-12-23,Ativa,2.700000000000003,2,9,0
28,Feminino,7.0,Cardio,39.9,279.3,192.94,Não,26.0,23.9,2024-03-10,Ativa,2.1000000000000014,0,0,0
29,Feminino,6.0,Yoga,76.9,461.4,192.39,Não,24.9,29.3,2023-06-23,Ativa,-4.400000000000002,0,9,0
55,Masculino,1.0,Yoga,60.7,60.7,50.63,Sim,31.5,15.8,2023-07-07,Ativa,15.7,1,9,0
34,Feminino,1.0,Futebol,70.55,203.5,158.85,Não,26.7,22.2,2025-06-16,Ativa,4.5,0,3,0
57,Outro,7.0,Musculação,51.3,359.1,188.9,Não,36.0,36.2,2025-06-23,Ativa,-0.20000000000000284,2,4,0
58,Feminino,3.0,Yoga,116.1,348.3,107.6,Não,23.5,29.1,2022-01-05,Ativa,-5.600000000000001,0,9,0
28,Masculino,7.0,Cardio,88.4,618.8,84.13,Sim,14.7,29.9,2020-02-03,Ativa,-15.2,1,0,0
62,Feminino,4.0,Futebol,38.3,153.2,58.6,Não,16.8,34.8,2022-02-19,Ativa,-17.999999999999996,0,3,0
20,Feminino,4.0,Musculação,51.2,203.5,231.46,Não,27.3,32.0,2021-12-09,Sedentária,-4.699999999999999,0,4,1
54,Masculino,3.0,Yoga,117.4,352.2,144.04,Sim,36.5,11.2,2023-09-08,Ativa,25.3,1,9,0
21,Outro,1.0,Yoga,62.9,62.9,290.53,Não,27.9,17.0,2023-02-16,Ativa,10.899999999999999,2,9,0
48,Masculino,2.0,Natação,84.0,168.0,131.05,Sim,14.9,28.7,2022-06-25,Ativa,-13.799999999999999,1,6,0
63,Feminino,1.0,CrossFit,104.4,104.4,146.11,Não,30.4,39.3,2021-12-31,Ativa,-8.899999999999999,0,1,0
18,Outro,6.0,Musculação,28.5,171.0,141.0,Sim,39.2,32.0,2020-01-19,Ativa,7.200000000000003,2,4,0
39,Feminino,7.0,Cardio,99.1,693.7,87.44,Sim,33.2,34.9,2023-02-26,Ativa,-1.6999999999999957,0,0,0
45,Outro,4.0,Yoga,48.7,203.5,281.39,Não,22.4,17.3,2021-05-04,Sedentária,5.099999999999998,2,9,1
25,Outro,7.0,Cardio,32.0,224.0,219.93,Não,33.3,10.8,2022-08-16,Ativa,22.499999999999996,2,0,0
23,Masculino,5.0,Musculação,105.9,529.5,146.03,Sim,14.1,36.7,2022-12-15,Ativa,-22.6,1,4,0
56,Outro,3.0,Musculação,38.6,115.8,130.51,Não,25.4,39.4,2023-08-28,Ativa,-14.0,2,4,0
63,Masculino,3.0,CrossFit,49.8,149.4,278.02,Sim,24.0,20.8,2020-04-02,Ativa,3.1999999999999993,1,1,0
23,Outro,7.0,Natação,70.1,490.7,130.71,Sim,34.1,11.7,2021-03-30,Ativa,22.400000000000002,2,6,0
20,Masculino,7.0,Cardio,98.2,687.4,80.46,Sim,20.1,32.4,2025-01-27,Ativa,-12.299999999999997,1,0,0
64,Masculino,5.0,Cardio,36.4,182.0,235.15,Sim,30.3,20.9,2022-04-03,Ativa,9.400000000000002,1,0,0
23,Feminino,2.0,CrossFit,101.9,203.8,224.59,Não,20.6,13.5,2021-02-08,Ativa,7.100000000000001,0,1,0
31,Outro,5.0,CrossFit,32.2,161.0,84.23,Sim,33.7,22.4,2025-06-04,Ativa,11.300000000000004,2,1,0
51,Masculino,2.0,Futebol,31.1,62.2,269.84,Sim,34.7,30.8,2021-03-05,Ativa,3.900000000000002,1,3,0
47,Feminino,1.0,CrossFit,29.5,29.5,265.65,Não,24.7,13.2,2024-01-02,Ativa,11.5,0,1,0
19,Feminino,3.0,Musculação,57.4,172.2,147.47,Não,32.8,36.1,2020-09-06,Ativa,-3.3000000000000043,0,4,0
24,Masculino,6.0,CrossFit,57.4,344.4,250.42,Sim,39.7,10.1,2022-06-02,Ativa,29.6,1,1,0
44,Masculino,2.0,CrossFit,99.4,198.8,159.3,Não,36.1,36.1,2022-06-08,Ativa,0.0,1,1,0
46,Feminino,2.0,Cardio,70.55,203.5,87.18,Sim,23.1,33.1,2021-12-22,Ativa,-10.0,0,0,0
54,Outro,1.0,Musculação,65.2,65.2,186.86,Sim,10.8,31.5,2025-04-11,Ativa,-20.7,2,4,0
41,Feminino,5.0,Futebol,41.9,209.5,241.15,Não,16.0,13.7,2022-01-16,Ativa,2.3000000000000007,0,3,0
64,Masculino,4.0,Musculação,29.1,116.4,107.78,Não,39.2,39.1,2020-04-05,Ativa,0.10000000000000142,1,4,0
53,Masculino,7.0,Cardio,41.5,290.5,202.95,Não,25.2,27.8,2025-05-28,Ativa,-2.6000000000000014,1,0,0
29,Feminino,3.0,Musculação,22.9,68.7,243.65,Sim,21.6,12.6,2025-03-03,Ativa,9.000000000000002,0,4,0
21,Outro,3.0,Musculação,88.2,264.6,89.44,Sim,30.4,38.2,2025-08-17,Ativa,-7.800000000000004,2,4,0
49,Feminino,3.0,Yoga,61.6,184.8,184.45,Sim,10.8,36.1,2021-10-13,Ativa,-25.3,0,9,0
61,Feminino,5.0,Cardio,96.2,481.0,127.75,Sim,15.0,26.1,2023-10-25,Ativa,-11.100000000000001,0,0,0
42,Outro,5.0,Yoga,79.0,395.0,294.89,Sim,38.8,37.9,2022-11-30,Ativa,0.8999999999999986,2,9,0
58,Outro,1.0,Futebol,86.8,86.8,195.43,Sim,29.3,37.3,2025-01-01,Ativa,-7.9999999999999964,2,3,0
35,Masculino,5.0,Musculação,108.4,542.0,127.05,Não,37.9,39.0,2021-06-16,Ativa,-1.1000000000000014,1,4,0
40,Feminino,4.0,Yoga,92.9,203.5,57.29,Sim,37.6,20.1,2021-03-31,Sedentária,17.5,0,9,1
47,Feminino,1.0,Futebol,63.8,63.8,291.25,Não,34.7,31.2,2020-10-15,Ativa,3.5000000000000036,0,3,0
50,Feminino,4.0,Musculação,32.4,129.6,211.82,Sim,12.7,31.2,2020-05-05,Ativa,-18.5,0,4,0
30,Feminino,5.0,CrossFit,119.8,599.0,115.92,Não,26.2,38.0,2024-12-25,Ativa,-11.8,0,1,0
